sentence,label,text
We are pleased to invite you to join M-real 's international conference call at 3:00 p.m. EET .,1,Kami dengan senang hati mengundang Anda untuk bergabung dalam panggilan konferensi internasional M-real pada pukul 15:00. EET.
"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",2,"Pada kuartal keempat tahun 2008, penjualan bersih meningkat sebesar 2% menjadi EUR 1,050.7 juta dari EUR 1,027.0 juta pada kuartal keempat tahun 2007."
"BasWare is headquartered in Espoo , Finland .",1,"BasWare berkantor pusat di Espoo, Finlandia."
"The stock is trading above both its MAPs and the 50-day MAP of SEK72 .983 is higher than the 200-day MAP of SEK70 .283 , a bullish indicator .",2,"Saham diperdagangkan di atas MAP-nya dan MAP 50 hari di SEK72,983 lebih tinggi dari MAP 200 hari di SEK70,283, yang merupakan indikator bullish."
The order for plywood mill machinery and equipment announced by Finnish Raute in September 2006 will be delivered to Thebault Plyland in France .,1,Pesanan mesin dan peralatan pabrik kayu lapis yang diumumkan oleh Raute Finlandia pada bulan September 2006 akan dikirim ke Thebault Plyland di Perancis.
The Swedish player became majority owner of UCell in mid-2007 .,1,Pemain asal Swedia ini menjadi pemilik mayoritas UCell pada pertengahan tahun 2007 .
"As a result , 12 people will be made redundant and a total of 67 persons are laid off temporarily .",0,"Akibatnya, 12 orang akan diberhentikan dan total 67 orang diberhentikan sementara."
$aapl short term fund/redemption liquidations.. Should have the channel cleared soon and on solid footing. $520 is new floor come July! :),0,$aapl dana jangka pendek/likuidasi penebusan.. Saluran tersebut harus segera dibersihkan dan memiliki pijakan yang kokoh. $520 adalah lantai baru pada bulan Juli! :)
AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,2,AstraZeneca Bekerja Sama Dengan Daiichi Sankyo Untuk Menjual Movantik Di AS
ND = Not disclosed .,1,ND = Tidak diungkapkan.
"`` This contract demonstrates our ability to apply our minerals and metals technologies in adjacent industries , such as oil shale processing .",2,"""Kontrak ini menunjukkan kemampuan kami untuk menerapkan teknologi mineral dan logam di industri yang berdekatan, seperti pengolahan serpih minyak."
The stock was hit by the profit warning of Finnish rival Rautaruukki Oyj ( OMX : RTRKS ) .,1,"Sahamnya terpukul oleh peringatan keuntungan dari rivalnya asal Finlandia, Rautaruukki Oyj (OMX: RTRKS)."
"Empresa de Desarrollo Urbano de Quito , INNOVAR-UIO , Ecuador has commissioned Poyry to prepare a feasibility study for a new urban rapid mass transit system .",1,"Empresa de Desarrollo Urbano de Quito, INNOVAR-UIO, Ekuador telah menugaskan Poyry untuk mempersiapkan studi kelayakan untuk sistem angkutan massal cepat perkotaan yang baru."
Finnish technology company Raute Corporation ( OMX Helsinki : RUTAV ) issued on Tuesday ( 23 September ) a profit warning for the financial year 2008 .,1,Perusahaan teknologi Finlandia Raute Corporation (OMX Helsinki: RUTAV) pada hari Selasa (23 September) mengeluarkan peringatan laba untuk tahun keuangan 2008.
RSA 's shares closed at 156.9 p at the time of going to press .,1,"Saham RSA ditutup pada 156,9 p pada saat berita ini dimuat."
$RCON some upside today. This thing is severe low float. If there is catalyst for this guy. It can run.,2,$RCON mengalami kenaikan hari ini. Benda ini adalah pelampung rendah yang parah. Jika ada katalis untuk orang ini. Itu bisa berjalan.
"$JE LOOKS like we are bouncing.  Would be nice to finish over $6 today, and make the hammer.  Nice volume from 5.77 bottom.  Fingers crossed",2,"$JE TERLIHAT seperti kita terpental.  Akan menyenangkan untuk menyelesaikan lebih dari $6 hari ini, dan membuat palu.  Volume bagus dari 5,77 bawah.  Semoga saja"
An audio webcast will be available live and archived on Cerner 's Web site at www.cerner.com .,1,Webcast audio akan tersedia secara langsung dan diarsipkan di situs Web Cerner di www.cerner.com.
$AAPL Goldman Sachs reiterates conviction buy on Apple with a $155 PT $SPY $DJIA $GS https://t.co/h5hmXSITwM,2,$AAPL Goldman Sachs menegaskan kembali keyakinan membeli di Apple dengan PT $SPY $DJIA $GS $155 https://t.co/h5hmXSITwM
"The copying , republication or redistribution of AFX News Content , including by framing or similar means , is expressly prohibited without the prior written consent of AFX News .",1,"Penyalinan, publikasi ulang, atau pendistribusian ulang Konten Berita AFX, termasuk dengan pembingkaian atau cara serupa, secara tegas dilarang tanpa izin tertulis sebelumnya dari AFX News."
ouch looks like $tsla shorts getting skinned again,2,aduh sepertinya celana pendek $tsla dikuliti lagi
The first of the two project phases is expected to be completed by the end of 2012 .,1,Tahap pertama dari dua tahap proyek diharapkan selesai pada akhir tahun 2012 .
$PG Ackman making the big added efficiency argument. betting on operational imporvement in a huge conglomerate can go either way imo.,2,$PG Ackman membuat argumen efisiensi tambahan yang besar. Bertaruh pada peningkatan operasional konglomerat besar bisa berdampak baik.
"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 .",2,"Laba operasional dan penjualan untuk periode tiga bulan meningkat, masing-masing dari EUR0,3 juta dan EUR13,1 juta, dibandingkan dengan periode yang sama pada tahun 2005."
"At the end of last week , Protalix BioTherapeutics Inc ( AMEX : PLX ) published a prospectus for a first offering on AMEX of about 5 % of its share capital .",1,"Pada akhir minggu lalu, Protalix BioTherapeutics Inc (AMEX: PLX) menerbitkan prospektus untuk penawaran pertama di AMEX sekitar 5% dari modal sahamnya."
Efore has decided to establish a company for eletric vehicle ( EV ) business in China .,1,Efore telah memutuskan untuk mendirikan perusahaan untuk bisnis kendaraan listrik (EV) di Cina.
"Managing Director 's comments : `` Net sales for the first quarter were notably lower than a year before , especially in Finland , Russia and the Baltic countries .",0,"Komentar Managing Director: `` Penjualan bersih pada kuartal pertama lebih rendah dibandingkan tahun sebelumnya, terutama di Finlandia, Rusia dan negara-negara Baltik."
The passenger tunnel is expected to be put into operation in 2009 .,1,Terowongan penumpang diharapkan dapat dioperasikan pada tahun 2009 .
Tata Steel working with StanChart for UK unit sale - source,2,Tata Steel bekerja sama dengan StanChart untuk penjualan unit di Inggris - sumber
"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",1,"Atas permintaan surat kabar perusahaan media Finlandia Alma Media, manajer riset Jari Kaivo-oja di Pusat Penelitian Berjangka Finlandia di Sekolah Ekonomi Turku telah menyusun skenario masa depan bagi perekonomian nasional Finlandia dengan menggunakan model yang dikembangkan oleh Universitas Denver."
"As a result , it has started negotiations with the banks on provisional amendments concerning the covenants and other credit terms .",1,"Oleh karena itu, pihaknya telah memulai negosiasi dengan bank mengenai amandemen sementara mengenai perjanjian dan persyaratan kredit lainnya."
Activities range from the development of natural resources to the retailed marketing of finished products .,1,Kegiatannya berkisar dari pengembangan sumber daya alam hingga pemasaran eceran produk jadi.
$PLUG Closed short position. Small gain. Not interested in options expiring worthless,2,$PLUG Menutup posisi short. Keuntungan kecil. Tidak tertarik pada opsi yang kadaluwarsanya tidak berguna
"The Apple Inc. iPhone wo n't change the game plan for Verizon Communications Inc. , Chief Executive Ivan Seidenberg said Wednesday .",1,"iPhone Apple Inc. tidak akan mengubah rencana permainan Verizon Communications Inc., kata Kepala Eksekutif Ivan Seidenberg, Rabu."
Production capacity will increase from 36 000 to 85 000 tonnes per year and the raw material will continue to be recycled paper and board .,2,Kapasitas produksi akan meningkat dari 36.000 menjadi 85.000 ton per tahun dan bahan bakunya akan terus berupa kertas dan papan daur ulang.
AstraZeneca sells US drug rights to Perrigo for $380 mln,2,AstraZeneca menjual hak obat AS kepada Perrigo seharga $380 juta
Short interest increases yet again http://stks.co/e19h via @ryandetrick $SPY,0,Bunga pendek meningkat lagi http://stks.co/e19h melalui @ryandetrick $SPY
"The Process Products orders are for the installation of separation-filtration equipment at three natural gas pipeline projects in China , South America , and Saudi Arabia .",1,"Pesanan Produk Proses tersebut ditujukan untuk pemasangan peralatan pemisahan-filtrasi di tiga proyek pipa gas alam di China, Amerika Selatan, dan Arab Saudi."
$HZNP havent seen vol like this since the runup. lets see one more dip to 2.0x,0,"$HZNP belum pernah melihat vol seperti ini sejak runup. mari kita lihat satu penurunan lagi ke 2,0x"
"The subscriptions increase Cargotec 's share capital by 36,780 euros .",2,Langganan tersebut meningkatkan modal saham Cargotec sebesar 36.780 euro.
Diluted earnings per share ( EPS ) stood at EUR 0.25 versus EUR 0.42 .,1,"Laba per saham terdilusi ( EPS ) berada pada EUR 0,25 versus EUR 0,42 ."
"Daily Mail owner considering Yahoo bid $yhoo ,up 2,05% https://t.co/extZr1riyP",2,"Pemilik Daily Mail mempertimbangkan tawaran Yahoo $yhoo, naik 2,05% https://t.co/extZr1riyP"
"`` This vessel order will help Aspo secure the long-term competitiveness of its fleet , both in terms of technology and pricing .",2,"""Pemesanan kapal ini akan membantu Aspo mengamankan daya saing armadanya dalam jangka panjang, baik dari segi teknologi dan harga."
"In the second quarter of 2009 , net sales through operator business partners represented 47 % of the Group 's total net sales .",1,"Pada kuartal kedua tahun 2009, penjualan bersih melalui mitra usaha operator mewakili 47% dari total penjualan bersih Grup."
ArcelorMittal Chief Executive Officer Lakshmi Mittal has already cut output at some furnaces .,0,Chief Executive Officer ArcelorMittal Lakshmi Mittal telah memangkas produksi di beberapa tungku.
"As such , the space has blond wood floors ( unlike the rest of the store ) and a notably Scandinavian vibe .",1,"Dengan demikian, ruangan tersebut memiliki lantai kayu berwarna pirang (tidak seperti toko lainnya) dan suasana khas Skandinavia."
The proposed consolidation activities will impact approximately 30 positions .,1,Kegiatan konsolidasi yang diusulkan akan berdampak pada sekitar 30 posisi.
Consumption is forecast to grow by about 2 % .,2,Konsumsi diperkirakan akan tumbuh sekitar 2%.
UPDATE 1-EU regulator backs approval for GSK injectable asthma drug,2,PEMBARUAN 1-Regulator UE mendukung persetujuan untuk obat asma suntik GSK
Starbucks downgraded on same day as new downgraded rewards program starts  $SBUX,0,Starbucks menurunkan peringkatnya pada hari yang sama saat program hadiah baru yang diturunkan peringkatnya dimulai $SBUX
You are warmly welcome !,1,Anda dipersilakan dengan hangat!
Efore 's CEO Reijo Maihaniemi said that the company has developed and already delivered power supply units to respective systems based on this technology to Chinese sector company ZTE Corp SHE : 000063 .,1,"CEO Efore, Reijo Maihaniemi mengatakan bahwa perusahaannya telah mengembangkan dan mengirimkan unit catu daya ke masing-masing sistem berdasarkan teknologi ini kepada perusahaan sektor Tiongkok, ZTE Corp SHE: 000063."
"The earnings per share for the quarter came in at 0.25 eur , up from the 0.20 eur of the same quarter a year earlier .",2,"Laba per saham pada kuartal ini mencapai 0,25 euro, naik dari 0,20 euro pada kuartal yang sama tahun sebelumnya."
"Exports make up more than 80 per cent of our sales , so the name Glaston also reflects a truly internationally operating company , '' explains Kyro 's President & CEO Mika Seitovirta .",1,"Ekspor menyumbang lebih dari 80 persen penjualan kami, sehingga nama Glaston juga mencerminkan perusahaan yang beroperasi secara internasional,'' jelas Presiden & CEO Kyro, Mika Seitovirta."
"Ruukki Romania , the local arm of Finnish metal producer Ruukki , increased its capital by 900,000 euro ( $ 1.14 mln ) through cash contribution , it was reported on September 19 , 2006 .",2,"Ruukki Romania, cabang lokal dari produsen logam Finlandia Ruukki, meningkatkan modalnya sebesar 900.000 euro ($1,14 juta) melalui kontribusi tunai, dilaporkan pada 19 September 2006."
"Global Markets Direct 's Pohjola Bank plc - Financial Analysis Review is an in-depth business , financial analysis of Pohjola Bank plc. .",1,Pohjola Bank plc - Tinjauan Analisis Keuangan Global Markets Direct adalah analisis keuangan bisnis yang mendalam dari Pohjola Bank plc. .
SABMiller revenue hit by weaker EM currencies,0,Pendapatan SABMiller terpukul oleh melemahnya mata uang negara-negara berkembang
ABB Deutsche Bank upgraded its recommendation on Swiss-Swedish engineering group ABB Ltd. to ` Buy ' from ` Hold ' .,2,ABB Deutsche Bank meningkatkan rekomendasinya terhadap grup teknik Swiss-Swedia ABB Ltd. menjadi `Beli' dari `Tahan'.
"In the Czech Republic , the profiling unit at Ostrava will be closed and the machinery will be relocated to Ruukki 's bigger plants in Hungary , Poland and Romania by the end of the first quarter of 2009 .",1,"Di Republik Ceko, unit pembuatan profil di Ostrava akan ditutup dan mesin akan dipindahkan ke pabrik Ruukki yang lebih besar di Hongaria, Polandia dan Rumania pada akhir kuartal pertama tahun 2009."
"Ackman, in email, says supports Valeant CEO Pearson",2,"Ackman, melalui email, mengatakan mendukung CEO Valeant Pearson"
"The floor area of the Yliopistonrinne project will be 7,900 sq m 85,030 sq ft and the building 's gross area will total 12,800 sq m. A total 25.1 % of the facilities have been let .",1,"Luas lantai proyek Yliopistonrinne akan menjadi 7.900 meter persegi (85.030 kaki persegi) dan luas kotor bangunan akan berjumlah 12.800 meter persegi. Sebanyak 25,1 % fasilitas telah disewakan ."
Aldata said that there are still a number of operational aspects to be defined between it and Microsoft and further details of the product and market initiatives resulting from this agreement will be available at a later date .,1,Aldata mengatakan bahwa masih ada sejumlah aspek operasional yang harus ditentukan antara pihaknya dan Microsoft dan rincian lebih lanjut mengenai inisiatif produk dan pasar yang dihasilkan dari perjanjian ini akan tersedia di kemudian hari.
"Nokia shares hit 13.21 euros on Friday , down 50 percent from the start of the year in part because of the slow introduction of touch-screen models .",0,"Saham Nokia mencapai 13,21 euro pada hari Jumat, turun 50 persen dari awal tahun ini sebagian karena lambatnya pengenalan model layar sentuh."
"The Internal Revenue Service sees about 20 percent of all taxpayers wait until the last two weeks to file , with about 40 million returns filed in April .",1,"Internal Revenue Service melihat sekitar 20 persen dari seluruh pembayar pajak menunggu hingga dua minggu terakhir untuk mengajukan laporan, dengan sekitar 40 juta laporan diajukan pada bulan April."
Solidium picked up Tikkurila shares as a dividend at a book value of EUR15 .80 per share .,1,"Solidium mengambil saham Tikkurila sebagai dividen dengan nilai buku EUR15,80 per saham."
The bank sees a potential for Getinge share to rise .,2,Bank melihat potensi kenaikan saham Getinge.
Finnish food industry company L+ñnnen Tehtaat is planning changes to its fish product business .,1,Perusahaan industri makanan Finlandia L+ñnnen Tehtaat merencanakan perubahan pada bisnis produk ikannya.
"Quarterly diluted EPS on continuing operations came in at 0.21 eur , compared with last year 's 0.12 eur .",2,"EPS terdilusi triwulanan atas operasi yang dilanjutkan mencapai 0,21 euro, dibandingkan dengan tahun lalu sebesar 0,12 euro."
"Construction work on the Helsinki Music Centre is to start this autumn , with the total cost of the project estimated at 140 million euros .",1,"Pekerjaan konstruksi Pusat Musik Helsinki akan dimulai pada musim gugur ini, dengan total biaya proyek diperkirakan mencapai 140 juta euro."
@1nvestor: $SODA has a 42.71% Float Short. LoL  http://stks.co/e0DfP,0,"@1investor: $SODA memiliki Float Short 42,71%. LoL http://stks.co/e0DfP"
"Tieto in Latvia is represented by IT services companies TietoEnator Alise and TietoEnator , which has operations in the industries of Financial Services Cards , Retail and Logistics and IT Outsourcing and Managed Services .",1,"Tieto di Latvia diwakili oleh perusahaan layanan TI TietoEnator Alise dan TietoEnator, yang beroperasi di industri Kartu Layanan Keuangan, Ritel dan Logistik serta Pengalihdayaan TI dan Layanan Terkelola."
"Citigroup , Inc ( NYSE : C ) has announced that its Global Transaction Services ( GTS ) business has been awarded a new mandate by Finland-based Pohjola Bank Group .",2,"Citigroup, Inc (NYSE:C) telah mengumumkan bahwa bisnis Layanan Transaksi Global (GTS) miliknya telah mendapatkan mandat baru dari Pohjola Bank Group yang berbasis di Finlandia."
Uponor maintains its full-year guidance for 2010 .,1,Uponor mempertahankan panduan setahun penuhnya untuk tahun 2010.
Stora Enso Oyj said its second-quarter result would fall by half compared with the same period in 2007 .,1,Stora Enso Oyj mengatakan hasil kuartal kedua akan turun setengahnya dibandingkan periode yang sama tahun 2007 .
"Latin America currently accounts for approximately 40 % of sales at Tecnotree , company president and CEO Eero Mertano recently told BNamericas .",1,"Amerika Latin saat ini menyumbang sekitar 40% penjualan di Tecnotree, presiden dan CEO perusahaan Eero Mertano baru-baru ini mengatakan kepada BNamericas."
Its 168 asset management experts manage assets worth over EUR 35 billion .,1,168 pakar manajemen asetnya mengelola aset senilai lebih dari EUR 35 miliar.
Tesco leads FTSE higher on Clubcard bid reports,2,Tesco memimpin FTSE lebih tinggi pada laporan penawaran Clubcard
Finnair was able to operate most of its leisure flights despite the strike .,2,Finnair mampu mengoperasikan sebagian besar penerbangan rekreasinya meskipun terjadi pemogokan.
"Nokia 's share price fell less than one percent to 18.70 euros ( $ 25.41 ) in Helsinki , while Siemens shares fell 1.02 percent to 90.19 euros ( $ 122.57 ) in Frankfurt .",0,"Harga saham Nokia turun kurang dari satu persen menjadi 18,70 euro ($25,41) di Helsinki, sementara saham Siemens turun 1,02 persen menjadi 90,19 euro ($122,57) di Frankfurt."
"TeliaSonera 's underlying results however included 457 mln skr in positive one-offs , hence the adjusted underlying EBITDA actually amounts to 7.309 bln skr , clearly below expectations , analysts said .",0,"Namun hasil dasar TeliaSonera mencakup 457 juta skr dalam bentuk one-off yang positif, sehingga EBITDA dasar yang disesuaikan sebenarnya berjumlah 7,309 miliar skr, jelas di bawah ekspektasi, kata para analis."
"Finnish software and hardware developer Elektrobit Oyj HEL : EBG1V , or EB , said today it will temporarily lay off up to 200 people for a maximum of 90 day in Finland , aiming to achieve cost savings of EUR 1.7 million USD 2m in the second half of 2010 .",0,"Pengembang perangkat lunak dan perangkat keras Finlandia Elektrobit Oyj HEL: EBG1V, atau EB, mengatakan hari ini pihaknya akan memberhentikan sementara hingga 200 orang selama maksimal 90 hari di Finlandia, dengan tujuan mencapai penghematan biaya sebesar EUR 1,7 juta USD 2 juta pada paruh kedua tahun ini. 2010."
Operating profit fell from EUR 7.9 mn in the second quarter of 2005 to EUR 5.1 mn in the second quarter of 2006 .,0,"Laba operasional turun dari EUR 7,9 juta pada kuartal kedua tahun 2005 menjadi EUR 5,1 juta pada kuartal kedua tahun 2006."
"no compensation for its news , opinions or distributions .",1,"tidak ada kompensasi atas berita, opini atau distribusinya."
Revenue grew 1 percent to euro742 .2 million US$ 964 million from euro735 million .,2,"Pendapatan tumbuh 1 persen menjadi euro742,2 juta US$ 964 juta dari euro735 juta."
"At the seminar , a memorandum of understanding on co-operation was signed between the Finnish Kemira Company and Vietnam National Chemical Corporation .",2,"Pada seminar tersebut, sebuah nota kesepahaman kerjasama ditandatangani antara Perusahaan Kemira Finlandia dan Perusahaan Kimia Nasional Vietnam."
"Votorantim Celulose e Papel ( VCP ) is part of the Votorantim Group , a major Brazilian conglomerate .",1,"Votorantim Celulose e Papel (VCP) adalah bagian dari Votorantim Group, konglomerat besar Brasil."
"The Finnish company is building a 800,000 mt-year biodiesel plant in Singapore .",1,Perusahaan asal Finlandia ini sedang membangun pabrik biodiesel berkapasitas 800.000 mt per tahun di Singapura.
"The sale , comprising the margarine business in Finland and Poland , follows the approval of the Polish competition authorities earlier in October .",1,"Penjualan tersebut, yang mencakup bisnis margarin di Finlandia dan Polandia, mengikuti persetujuan otoritas persaingan Polandia pada awal bulan Oktober."
"The plant will go on stream in November 2008 and its estimated daily production will be 120,000 litres of bioethanol .",1,Pabrik ini akan mulai beroperasi pada bulan November 2008 dan perkiraan produksi hariannya akan mencapai 120.000 liter bioetanol.
"Operating profit excluding non-recurring items amounted to EUR 40.6 mn , down from EUR 57.3 mn year-on-year .",0,"Laba operasional tidak termasuk item yang tidak berulang berjumlah EUR 40,6 juta, turun dari EUR 57,3 juta tahun ke tahun."
"The Group 's revenue amounts to over EUR 80 million , about half of which is accounted for by exports .",1,"Pendapatan Grup berjumlah lebih dari EUR 80 juta, sekitar setengahnya berasal dari ekspor."
"So far Norwegian Norske Skog has reduced the staff levels by 1,000 people and plans to reduce production by 200,000 tons in 2008 , while Finnish-Swedish Stora Enso is to cut staff by 1,700 people and production by 500,000 tons .",0,"Sejauh ini Norske Skog dari Norwegia telah mengurangi jumlah staf sebanyak 1.000 orang dan berencana mengurangi produksi sebanyak 200.000 ton pada tahun 2008, sementara Stora Enso dari Finlandia-Swedia akan mengurangi staf sebanyak 1.700 orang dan produksi sebanyak 500.000 ton."
"LKAB , headquartered in Lulea , Sweden , is a high-tech mining company producing upgraded iron ore products for the steel industry .",1,"LKAB, yang berkantor pusat di Lulea, Swedia, adalah perusahaan pertambangan berteknologi tinggi yang memproduksi produk bijih besi yang ditingkatkan kualitasnya untuk industri baja."
`` They want my credit card info and my personal details .,1,"""Mereka menginginkan informasi kartu kredit dan data pribadi saya."
UPM-Kymmene has generated thirty-one consecutive quarters of positive EBITDA .,2,UPM-Kymmene telah menghasilkan EBITDA positif selama tiga puluh satu kuartal berturut-turut.
"Really surprised by how much $FB has now fallen. Thought there'd be some support around the 50d, but I guess not.",0,"Benar-benar terkejut dengan banyaknya $FB yang kini telah jatuh. Saya pikir akan ada dukungan di sekitar 50d, tapi saya rasa tidak."
"Operating loss totalled EUR 12.7 mn , compared to a profit of EUR 17.7 mn in the first half of 2008 .",1,"Kerugian operasional berjumlah EUR 12,7 juta, dibandingkan dengan keuntungan sebesar EUR 17,7 juta pada paruh pertama tahun 2008."
The event can also be viewed as a live audio webcast at www.ahlstrom.com .,1,Acara ini juga dapat dilihat sebagai webcast audio langsung di www.ahlstrom.com.
Operating profit excluding non-recurring items was EUR 7.8 million compared to EUR 11.2 million .,0,"Laba operasional tidak termasuk item yang tidak berulang adalah EUR 7,8 juta dibandingkan dengan EUR 11,2 juta."
"The maximum grade of the veneer yield is calculated , based on the dimensions and grades of the veneer products , as well as by iterating the places of the peeling axes and simulating the peeling process .",1,"Nilai maksimum hasil veneer dihitung, berdasarkan dimensi dan kualitas produk veneer, serta dengan mengulangi tempat sumbu pengelupasan dan mensimulasikan proses pengelupasan."
The operating margin came down to 2.4 % from 5.7 % .,1,"Margin usaha turun menjadi 2,4% dari 5,7%."
"`` In Ukraine , too , we act as a partner for major bakery clients in both production and product development .",1,"""Di Ukraina juga, kami bertindak sebagai mitra bagi klien toko roti besar baik dalam produksi maupun pengembangan produk."
"As a result of the merger , the largest professional electronics and telecommunications technology contract manufacturing center in Finland will be formed in Sievi .",1,"Sebagai hasil dari merger, pusat manufaktur kontrak teknologi elektronik dan telekomunikasi profesional terbesar di Finlandia akan dibentuk di Sievi."
The transaction is in line with Aspo 's strategy to expand in the Baltic Sea region and in the eastern markets .,2,Transaksi ini sejalan dengan strategi Aspo untuk melakukan ekspansi di kawasan Laut Baltik dan pasar timur.
Merging the two free sheets will clarify the market situation .,1,Penggabungan dua lembar bebas akan memperjelas situasi pasar.
Arena Partners Oy is a development company for electronic business .,1,Arena Partners Oy adalah perusahaan pengembangan bisnis elektronik.
Cramo slipped to a pretax loss of EUR 6.7 million from a pretax profit of EUR 58.9 million .,0,"Cramo mengalami kerugian sebelum pajak sebesar EUR 6,7 juta dari laba sebelum pajak sebesar EUR 58,9 juta."
The studies are expected to start in 2008 .,1,Studi ini diperkirakan akan dimulai pada tahun 2008 .
Net profit in the same period in 2006 was 36.6 million euros .,1,"Laba bersih pada periode yang sama tahun 2006 adalah 36,6 juta euro."
Finnish communication electronics components supplier Scanfil Oyj Tuesday said sales in the first half of 2006 will be 15 % lower than during the same period a year ago .,0,Pemasok komponen elektronik komunikasi Finlandia Scanfil Oyj Selasa mengatakan penjualan pada semester pertama tahun 2006 akan 15% lebih rendah dibandingkan periode yang sama tahun lalu.
The number of magazine and newspaper readers remained unchanged .,1,Jumlah pembaca majalah dan surat kabar tidak berubah.
The company had net sales of EUR 19.8 mn and a pre-tax profit of EUR 1.8 mn in 2005 .,1,"Perusahaan ini mempunyai penjualan bersih sebesar EUR 19,8 juta dan laba sebelum pajak sebesar EUR 1,8 juta pada tahun 2005."
"The workforce will be reduced also in the Amsterdam office , in the Netherlands .",1,"Tenaga kerja juga akan dikurangi di kantor Amsterdam, Belanda."
Yvonne Jones is owner of Chameleon Interiors .,1,Yvonne Jones adalah pemilik Interior Bunglon.
"A downloadable instruction sheet , instructional video , and project ideas for the award-winning Everywhere Punch TM Window System can be found at www.fiskars.com .",1,"Lembar instruksi yang dapat diunduh, video instruksional, dan ide proyek untuk Sistem Jendela Everywhere Punch TM pemenang penghargaan dapat ditemukan di www.fiskars.com."
"In 2007 Talentum will disclose three Interim Reports - Q1 ( January - March ) on Friday , 27 April , 2007 - Q2 ( April - June ) on Friday , 20 July , 2007 - Q3 ( July - September ) on Friday , 26 October , 2007 .",1,"Pada tahun 2007 Talentum akan mengungkapkan tiga Laporan Interim - Q1 (Januari - Maret) pada hari Jumat, 27 April 2007 - Q2 (April - Juni) pada hari Jumat, 20 Juli 2007 - Q3 (Juli - September) pada hari Jumat, 26 Oktober 2007 ."
The parties have also agreed on options that allow UH to extensively implement later on also functionalities of human resources management .,2,Para pihak juga telah menyepakati opsi-opsi yang memungkinkan UH untuk menerapkan secara luas fungsi-fungsi manajemen sumber daya manusia di kemudian hari.
"LONDON ( AFX ) - Intertek Group PLC , a testing and inspection company , said its commercial and electrical division has bought Finland-based company Natlabs Oy from Etteplan Oyj for 1.3 mln eur in cash .",1,"LONDON (AFX) - Intertek Group PLC, sebuah perusahaan pengujian dan inspeksi, mengatakan divisi komersial dan kelistrikannya telah membeli perusahaan Natlabs Oy yang berbasis di Finlandia dari Etteplan Oyj seharga 1,3 juta eur tunai."
Finnair believes the strike will cause it daily net losses in excess of EUR 2mn due to canceled reservations and passenger re-routing .,1,Finnair yakin pemogokan tersebut akan menyebabkan kerugian bersih hariannya melebihi EUR 2 juta karena pembatalan reservasi dan pengalihan rute penumpang.
Nordea sees a return to positive growth for the Baltic countries in 2011 .,2,Nordea melihat kembalinya pertumbuhan positif bagi negara-negara Baltik pada tahun 2011.
The negotiations will concern the plant 's department producing winded roving that employs 10 people .,1,Negosiasi ini akan menyangkut departemen pabrik yang memproduksi mesin keliling yang mempekerjakan 10 orang.
"POYRY PLC Additional information by : Martin Kuzaj , President , Industry Business Group , Finland Tel. +358 10 33 21179 Sanna Paivaniemi , Director , Investor Relations , Poyry PLC , Finland Tel. +358 10 33 23002 Poyry is a global consulting and engineering company dedicated to balanced sustainability .",1,"POYRY PLC Informasi tambahan oleh: Martin Kuzaj, Presiden, Kelompok Bisnis Industri, Finlandia Telp. +358 10 33 21179 Sanna Paivaniemi, Direktur, Hubungan Investor, Poyry PLC, Finlandia Telp. +358 10 33 23002 Poyry adalah perusahaan konsultan dan teknik global yang berdedikasi terhadap keberlanjutan yang seimbang."
"@Binkster69 Not that. it's just ER's lol. But looking at the correlation of $ARIA and foreign price charts, they are all poised to breakout.",2,"@Binkster69 Bukan itu. itu hanya UGD haha. Namun melihat korelasi $ARIA dan grafik harga asing, semuanya siap untuk breakout."
"Rapala VMC Corporation STOCK EXCHANGE RELEASE October 10 , 2008 at 11.45 am Kaupthing Bank Oyj ( `` Kapthing '' ) has informed Rapala VMC Corporation ( `` Rapala '' ) that it has interrupted the liquidity providing for Rapala 's share for the time being .",1,RILIS BURSA EFEK Rapala VMC Corporation 10 Oktober 2008 pukul 11.45 Kaupthing Bank Oyj (`` Kapthing '') telah memberi tahu Rapala VMC Corporation (`` Rapala '') bahwa mereka telah menghentikan penyediaan likuiditas untuk saham Rapala untuk saat ini. makhluk .
"As part of its new strategy , Finnish Biohit is planning to incorporate its diagnostics business into a separate limited company .",1,"Sebagai bagian dari strategi barunya, Biohit Finlandia berencana untuk memasukkan bisnis diagnostiknya ke dalam sebuah perusahaan terbatas yang terpisah."
"Virala Oy Ab was allocated by the Board of Directors an amount of EUR 1,9 million which is EUR 0,25 million lower than maximum announced on 12/30/2010 .",1,"Virala Oy Ab dialokasikan oleh Dewan Direksi sejumlah EUR 1,9 juta yang merupakan EUR 0,25 juta lebih rendah dari jumlah maksimum yang diumumkan pada 30/12/2010."
